nest,site,trt,sex,ID,year,date,time,brood_size,tarsus,wing,mass
M1,N,C,F,07877,2020,6/9/20,13:56,4,17.11,50.5,11
M10-20,N,C,F,07551,2020,7/3/20,12:14,2,17.29,48.5,9.5
M10-20,N,C,M,07575,2020,7/3/20,12:41,2,16.5,49.5,10.25
M12,N,T,F,85785,2020,6/12/20,13:22,4,17.51,49.5,11
M15-20,N,C,F,85797,2020,6/5/20,13:36,4,17.37,49,10.2
M18,N,C,F,07870,2020,6/2/20,1:08,4,17.58,52,11.4
M18,N,C,M,62516,2020,6/2/20,12:36,4,17.11,52,9.75
M19,N,C,F,07553,2020,7/2/20,14:28,2,16.81,48,10
M2,N,C,F,85788,2020,6/8/20,13:15,2,17.22,49.75,10.25
M20-20,N,C,F,07869,2020,6/4/20,14:01,4,16.5,49,10.6
M22,N,T,M,07900,2020,6/9/20,12:49,1,16.93,50,10
M24-20,N,T,F,07871,2020,6/4/20,14:27,3,17.54,52.25,10.75
M27,N,C,F,07872,2020,6/28/20,12:00,2,16.55,50,10
M28-20,N,T,F,07548,2020,6/13/20,13:39,6,17.55,47.75,11.2
M3-20,N,T,F,07874,2020,6/8/20,14:14,2,17.74,50,11.5
M30-20,N,T,F,07882,2020,6/12/20,14:05,5,17.33,49,9.75
M30-20,N,T,M,07549,2020,6/13/20,14:28,5,16.83,50,10.7
M34-20,N,T,M,07899,2020,6/8/20,14:26,7,17.43,51.5,10.6
M34-20,N,T,F,07873,2020,6/10/20,14:27,7,17.02,48,10
M5,N,T,F,59164,2020,6/8/20,13:45,1,17.69,50.25,10.75
M8-20,N,T,F,59153,2020,7/15/20,13:38,2,16.28,49.5,9.25
M9,N,C,F,07868,2020,5/31/20,14:03,3,17.15,50.05,11
C19-20,U,C,F,07558,2020,7/4/20,13:11,2,16.96,50.5,9.25
C19-20,U,C,M,07576,2020,7/4/20,13:38,2,17.05,50.5,9.75
C21,U,C,F,07878,2020,6/14/20,13:58,3,17.51,50,10
C22-20,U,T,F,07339,2020,6/7/20,13:30,3,17.45,54,10.3
C23-20,U,C,F,07339,2020,7/15/20,12:38,3,17.16,49.5,9.25
C24,U,T,F,07089,2020,6/18/20,13:51,3,16.4,49,10.8
C24,U,T,M,07550,2020,6/18/20,14:10,3,17.6,52,10.9
C33-20,U,C,F,07508,2020,6/5/20,14:39,4,17.57,50,10.5
C33-20,U,C,M,07426,2020,6/5/20,14:52,4,17.85,52.75,9.5
C35,U,T,F,07887,2020,6/14/20,14:21,3,16.94,49,11.3
C35,U,T,M,07557,2020,6/16/20,13:07,3,16.9,49,10
M11-21,N,T,F,07588,2021,6/11/21,13:05,4,16.02,48,10
M16,N,T,M,07612,2021,6/17/21,13:40,3,16.55,50,10.25
M17-21,N,C,F,07587,2021,6/8/21,13:55,3,17.16,51.5,11
M35-21,N,T,F,07603,2021,6/22/21,12:54,4,17.08,48.5,10.5
M4,N,C,F,07602,2021,6/24/21,12:04,3,17.28,49,10
M8-21,N,C,F,85797,2021,6/7/21,14:06,3,17.1,50,10.25
A49,R,C,M,07606,2021,6/13/21,13:47,2,17.14,49.75,9.75
A69,R,T,F,07614,2021,7/1/21,12:03,3,16.9,50,10.75
A69,R,T,M,07628,2021,7/3/21,11:55,3,17.1,51,10
A84,R,T,F,07638,2021,7/29/21,11:13,2,17.05,50,10
C16,U,C,F,07589,2021,7/31/21,10:13,2,16.68,50,8.9
C18,U,C,F,07589,2021,6/15/21,13:43,2,16.85,51,9.75
C18,U,C,M,07426,2021,6/15/21,14:06,2,17.43,53,9.25
C19-21,U,T,F,07425,2021,7/19/21,11:10,3,16.85,49,10.75
C19-21,U,T,M,07426,2021,7/19/21,11:23,3,17.35,54,9.75
C23-21,U,T,F,07619,2021,7/5/21,12:09,4,16.87,49.5,9.75
C23-21,U,T,M,07632,2021,7/6/21,12:16,4,17.05,51,9.3
M10-22,N,C,F,07587,2022,7/7/22,12:27,2,17.37,52,10.1
M11-22,N,C,F,85861,2022,6/28/22,11:38,3,17.03,50,9.75
M17-22,N,C,F,07643,2022,6/3/22,12:09,2,16.5,50.05,10.75
M20-22,N,T,F,07644,2022,6/1/22,11:57,3,17.52,51,10.25
M20-22,N,T,M,85836,2022,6/3/22,11:14,3,16.22,50.5,10.25
M24-22,N,T,F,07602,2022,6/21/22,11:39,3,17.5,50.5,10.75
M26-22,N,T,F,07644,2022,7/3/22,12:06,3,17.18,51,9.8
M28-22,N,C,F,07671,2022,7/2/22,11:40,3,16.33,50,10.1
M28-22,N,C,M,07688,2022,7/3/22,12:35,3,16.67,52,10.15
M3-22,N,C,F,85797,2022,5/31/22,14:33,5,16.58,50,10.75
M32-22,N,T,F,07691,2022,7/18/22,10:56,3,16.65,48.5,9.6
M34-22,N,C,F,07692,2022,7/20/22,11:31,3,17.2,51,9.6
M35-22,N,T,F,07667,2022,6/24/22,12:10,2,16.18,50,9.25
M3b,N,T,M,07612,2022,7/13/22,12:07,2,17.5,51.5,10.25
M8-22,N,C,F,85837,2022,6/5/22,12:54,2,16.43,51.5,10.25
M8-22,N,C,M,85850,2022,6/7/22,12:07,2,17.83,53,10.75
A92,R,C,F,07646,2022,6/4/22,14:16,3,17.1,49,9.35
A92b,R,T,F,07646,2022,7/14/22,13:22,4,17.15,50,10.5
A92b,R,T,M,47001,2022,7/14/22,13:45,4,17.04,50.05,10.25
C19-22,U,T,F,07425,2022,6/10/22,11:53,3,16.82,51,10.8
C19-22,U,T,M,07668,2022,6/10/22,12:38,3,16.86,53,10.25
C19b,U,C,F,07666,2022,7/15/22,11:29,4,16.73,50.5,9.5
C19b,U,C,M,07668,2022,7/15/22,11:46,4,16.92,54,8.75
C23-22,U,T,F,07663,2022,7/19/22,14:05,2,16.89,48.5,9.75
C23-22,U,T,M,47011,2022,7/19/22,14:20,2,16.62,51.5,10.5
C33-22,U,C,F,07660,2022,6/19/22,12:32,2,17.48,50,10.25
C33-22,U,C,M,07676,2022,6/20/22,12:10,2,16.93,48.5,9.5
