nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
M4-20,N,C,1,Y,2020,5/9/20,,,,,10:57,17.25,12.65,1.44
M6,N,C,1,Y,2020,5/21/20,,,,,14:52,16.10,12.40,1.44
M6,N,C,2,N,2020,5/22/20,,,,,12:40,16.00,12.30,1.54
M34A,N,C,1,N,2022,6/11/2022,,,,,11:28,15.50,12.53,1.30
M34A,N,C,2,N,2022,6/11/2022,,,,,11:30,16.07,12.60,1.39
C22-22,U,C,1,N,2022,5/11/2022,,,,,9:14,16.15,12.20,1.25
C22-22,U,C,2,Y,2022,5/12/2022,,,,,11:28,15.90,12.20,1.25
A69-20,R,C,1,N,2020,5/22/20,,,,,11:24,17.00,13.00,1.48
A69-20,R,C,2,Y,2020,5/23/20,,,,,9:28,16.60,12.75,1.47
A69-20,R,C,3,N,2020,5/24/20,,,,,10:40,16.40,12.70,1.42
M22B,N,T,1,N,2020,6/9/20,4,5/30/20,12,12,11:02,16.97,12.85,1.48
M22B,N,T,2,N,2020,6/9/20,4,5/30/20,13,12,11:02,16.35,13.27,1.51
M22B,N,T,3,N,2020,6/9/20,4,5/30/20,14,12,11:02,16.65,13.45,1.52
M22B,N,T,4,N,2020,6/9/20,4,5/30/20,15,12,11:02,16.90,13.13,1.54
C23-22,U,T,1,N,2022,6/24/2022,4,6/24/2022,1,1,8:59,16.30,12.40,1.41
C23-22,U,T,2,Y,2022,6/25/2022,4,6/24/2022,2,1,10:27,16.03,12.53,1.38
C23-22,U,T,3,Y,2022,6/26/2022,4,6/24/2022,3,1,10:39,16.00,12.60,1.41
C23-22,U,T,4,N,2022,6/27/2022,4,6/24/2022,4,1,8:51,16.40,12.73,1.41
M10-20,N,C,1,Y,2020,6/6/20,5,,,,10:42,15.75,12.27,1.24
M10-20,N,C,2,N,2020,6/7/20,5,,,,10:33,16.23,12.50,1.33
M10-20,N,C,3,Y,2020,6/8/20,5,,,,10:43,16.20,12.40,1.29
M10-20,N,C,4,N,2020,6/9/20,5,,,,11:21,16.07,12.23,1.29
M10-20,N,C,5,Y,2020,6/10/20,5,,,,10:11,16.27,12.40,1.29
M32B,N,C,1,N,2020,6/5/20,5,,,,12:08,17.45,13.30,1.64
M32B,N,C,2,Y,2020,6/6/20,5,,,,11:41,17.35,13.47,1.62
M32B,N,C,3,N,2020,6/7/20,5,,,,11:54,17.50,13.37,1.63
M32B,N,C,4,Y,2020,6/8/20,5,,,,11:40,17.70,13.43,1.66
M32B,N,C,5,N,2020,6/9/20,5,,,,11:56,18.30,13.63,1.76
M8-20,N,T,1,Y,2020,6/17/20,5,6/15/20,3,3,11:37,16.40,11.90,1.24
M8-20,N,T,2,N,2020,6/18/20,5,6/15/20,4,3,12:26,16.50,12.17,1.27
M8-20,N,T,3,Y,2020,6/19/20,5,6/15/20,5,3,9:59,16.67,12.23,1.29
M8-20,N,T,4,N,2020,6/20/20,5,6/15/20,6,3,10:38,16.47,12.55,1.35
M8-20,N,T,5,Y,2020,6/21/20,5,6/15/20,7,3,10:30,17.03,12.70,1.41
F2,R,C,1,N,2020,6/15/20,5,,,,12:15,16.90,12.37,1.37
F2,R,C,2,N,2020,6/15/20,5,,,,12:15,17.85,12.47,1.51
F2,R,C,3,N,2020,6/15/20,5,,,,12:15,17.80,12.43,1.48
F2,R,C,4,Y,2020,6/16/20,5,,,,11:00,17.90,12.47,1.53
F2,R,C,5,Y,2020,6/17/20,5,,,,12:19,17.93,12.60,1.51
A84,R,T,1,Y,2021,7/4/21,5,7/1/21,4,4,9:58,16.40,12.90,1.48
A84,R,T,2,N,2021,7/5/21,5,7/1/21,5,4,10:25,16.37,13.10,1.54
A84,R,T,3,Y,2021,7/6/21,5,7/1/21,6,4,9:02,16.30,13.10,1.52
A84,R,T,4,N,2021,7/8/21,5,7/1/21,7,4,10:16,16.30,13.10,1.48
A84,R,T,5,Y,2021,7/9/21,5,7/1/21,8,4,9:54,16.80,13.10,1.53
C16,U,C,1,N,2021,7/2/21,5,,,,10:00,16.20,12.40,1.34
C16,U,C,2,Y,2021,7/3/21,5,,,,10:06,16.65,12.75,1.45
C16,U,C,3,N,2021,7/4/21,5,,,,10:57,16.75,12.83,1.47
C16,U,C,4,Y,2021,7/5/21,5,,,,11:21,17.00,12.85,1.52
C16,U,C,5,N,2021,7/6/21,5,,,,11:21,17.37,13.00,1.57
M10-22,N,C,1,Y,2022,6/11/2022,5,,,,11:50,16.03,13.25,1.47
M10-22,N,C,2,N,2022,6/12/2022,5,,,,11:20,15.60,13.10,1.43
M10-22,N,C,3,Y,2022,6/13/2022,5,,,,11:04,16.07,13.33,1.52
M10-22,N,C,4,N,2022,6/14/2022,5,,,,12:06,15.60,13.30,1.56
M10-22,N,C,5,Y,2022,6/15/2022,5,,,,11:06,16.00,13.30,1.54
M32-22,N,T,1,N,2022,6/23/2022,5,6/21/2022,3,3,11:05,16.13,12.60,1.35
M32-22,N,T,2,Y,2022,6/24/2022,5,6/21/2022,4,3,12:58,15.90,12.63,1.35
M32-22,N,T,3,N,2022,6/25/2022,5,6/21/2022,5,3,13:35,15.85,12.50,1.35
M32-22,N,T,4,Y,2022,6/26/2022,5,6/21/2022,6,3,15:20,16.20,12.77,1.42
M32-22,N,T,5,N,2022,6/27/2022,5,6/21/2022,7,3,11:20,16.20,12.75,1.40
A92B,R,T,1,N,2022,6/24/2022,5,6/23/2022,2,2,14:13,16.20,12.05,1.27
A92B,R,T,2,N,2022,6/24/2022,5,6/23/2022,3,2,14:13,16.30,12.20,1.28
A92B,R,T,3,N,2022,6/24/2022,5,6/23/2022,4,2,14:13,16.55,12.05,1.28
A92B,R,T,4,N,2022,6/24/2022,5,6/23/2022,5,2,14:13,16.65,12.10,1.28
A92B,R,T,5,Y,2022,6/24/2022,5,6/23/2022,6,2,14:13,16.65,12.13,1.34
M19,N,C,1,Y,2020,6/5/20,6,,,,11:18,16.55,12.77,1.44
M19,N,C,2,N,2020,6/6/20,6,,,,10:28,16.65,13.15,1.49
M19,N,C,3,Y,2020,6/7/20,6,,,,10:06,16.63,13.16,1.52
M19,N,C,4,N,2020,6/8/20,6,,,,11:08,16.75,13.30,1.55
M19,N,C,5,Y,2020,6/9/20,6,,,,11:14,15.93,12.86,1.54
M19,N,C,6,N,2020,6/10/20,6,,,,10:28,16.28,12.88,1.58
M2,N,C,1,N,2020,5/10/20,6,,,,11:15,16.60,12.60,1.44
