frassID,site,date,year,mass_g,mass_mg,Julian,temp,biomass_mg,biomass
A54,R,4/30/20,2020,0.0104,10.4,123,18.27,107.815864,0.107815864
A96,R,4/30/20,2020,0.0084,8.4,123,18.27,87.082044,0.087082044
C16,U,4/30/20,2020,0.0023,2.3,123,18.27,23.843893,0.023843893
C30 ,U,4/30/20,2020,0.0022,2.2,123,18.27,22.807202,0.022807202
M33,N,5/7/20,2020,0.1329,132.9,130,15.19,1691.719983,1.691719983
M3 ,N,5/7/20,2020,0.1207,120.7,130,15.19,1536.422889,1.536422889
C30 ,U,5/7/20,2020,0.014,14,130,15.19,178.20978,0.17820978
C16,U,5/7/20,2020,0.0076,7.6,130,15.19,96.742452,0.096742452
A96,R,5/7/20,2020,0.0032,3.2,130,15.19,40.733664,0.040733664
A54,R,5/14/20,2020,0.2784,278.4,137,15.87,3398.626464,3.398626464
M3,N,5/14/20,2020,0.2276,227.6,137,15.87,2778.474796,2.778474796
M33,N,5/14/20,2020,0.2204,220.4,137,15.87,2690.579284,2.690579284
C30,U,5/14/20,2020,0.1321,132.1,137,15.87,1612.638491,1.612638491
A96,R,5/14/20,2020,0.0748,74.8,137,15.87,913.136708,0.913136708
C16,U,5/14/20,2020,0.021,21,137,15.87,256.36191,0.25636191
A54,R,5/17/20,2020,0.1003,100.3,137,14.22,1351.367978,1.351367978
A54,R,5/21/20,2020,0.1729,172.9,144,13.34,2446.227238,2.446227238
M33,N,5/21/20,2020,0.1202,120.2,144,13.34,1700.616044,1.700616044
M3 ,N,5/21/20,2020,0.0876,87.6,144,13.34,1239.384072,1.239384072
A96,R,5/21/20,2020,0.0531,53.1,144,13.34,751.270482,0.751270482
C16,U,5/21/20,2020,0.0308,30.8,144,13.34,435.765176,0.435765176
C30,U,5/21/20,2020,0.0259,25.9,144,13.34,366.438898,0.366438898
A74,R,5/28/20,2020,0.3124,312.4,151,19.69,2898.375348,2.898375348
A54,R,5/28/20,2020,0.1697,169.7,151,19.69,1574.437569,1.574437569
M3 ,N,5/28/20,2020,0.1587,158.7,151,19.69,1472.382099,1.472382099
M33,N,5/28/20,2020,0.1357,135.7,151,19.69,1258.993389,1.258993389
C16,U,5/28/20,2020,0.0636,63.6,151,19.69,590.066172,0.590066172
C30,U,5/28/20,2020,0.0594,59.4,151,19.69,551.099538,0.551099538
A74,R,6/4/20,2020,0.4103,410.3,158,21.32,3293.707868,3.293707868
A54,R,6/4/20,2020,0.2532,253.2,158,21.32,2032.578192,2.032578192
M33,N,6/4/20,2020,0.1183,118.3,158,21.32,949.660348,0.949660348
M3 ,N,6/4/20,2020,0.1003,100.3,158,21.32,805.164268,0.805164268
C30 ,U,6/4/20,2020,0.0482,48.2,158,21.32,386.928392,0.386928392
A54,R,6/11/20,2020,0.1679,167.9,165,17,1904.1539,1.9041539
A74,R,6/11/20,2020,0.0381,38.1,165,17,432.0921,0.4320921
M33,N,6/11/20,2020,0.033,33,165,17,374.253,0.374253
M3,N,6/11/20,2020,0.025,25,165,17,283.525,0.283525
C16,U,6/11/20,2020,0.0123,12.3,165,17,139.4943,0.1394943
C30,U,6/11/20,2020,0.0045,4.5,165,17,51.0345,0.0510345
C16,U,6/14/20,2020,0.0189,18.9,165,17.57,206.082009,0.206082009
A54,R,6/18/20,2020,0.1403,140.3,172,16.87,1605.131613,1.605131613
M33,N,6/18/20,2020,0.0433,43.3,172,16.87,495.382743,0.495382743
M3 ,N,6/18/20,2020,0.0241,24.1,172,16.87,275.721111,0.275721111
A74,R,6/18/20,2020,0.0063,6.3,172,16.87,72.076473,0.072076473
C16,U,6/18/20,2020,0.006,6,172,16.87,68.64426,0.06864426
C30,U,6/18/20,2020,0.0001,0.1,172,16.87,1.144071,0.001144071
M13,N,6/21/20,2020,0.0534,53.4,172,20.02,481.916844,0.481916844
A74,R,6/25/20,2020,0.0356,35.6,179,25.74,165.092152,0.165092152
M33,N,6/25/20,2020,0.0304,30.4,179,25.74,140.977568,0.140977568
C16,U,6/25/20,2020,0.0293,29.3,179,25.74,135.876406,0.135876406
A54,R,6/25/20,2020,0.024,24,179,25.74,111.29808,0.11129808
C30,U,6/25/20,2020,0.0071,7.1,179,25.74,32.925682,0.032925682
M3,N,6/26/20,2020,0.0323,32.3,179,26.53,130.217127,0.130217127
A74,R,7/2/20,2020,0.0399,39.9,186,22.17,294.286839,0.294286839
