sample_ID,nest,site,trt,ID,date ,year,time,brood_size,bleed_time,plate,cort,mass
1,M2,N,C,7510,6/10/20,2020,9:45,2,156,1,3.682,10.19
2,M35-21,N,T,7615,6/25/21,2021,9:12,4,135,1,6.678,10.68
3,C23-20,U,C,7585,7/19/20,2020,9:17,3,90,1,1.3704,9.55
4,M28-20,N,T,7539,6/16/20,2020,9:16,6,163,1,0.016174,10.81
5,M30,N,T,7537,6/15/20,2020,9:55,5,45,1,0.4968,9.7
6,C19b,U,C,7700,7/18/22,2022,9:10,4,122,1,0.767,9.34
7,A87,R,C,7578,7/14/20,2020,10:35,3,62,1,1.8188,9.53
8,M8-20,N,T,7581,7/16/20,2020,10:41,2,83,1,0.4756,10.61
9,M28-20,N,T,7544,6/16/20,2020,9:16,6,102,1,1.9706,11.04
10,M14,N,T,7504,6/8/20,2020,10:20,2,120,1,2.506,10.7
11,C23-22,U,T,47006,7/22/22,2022,9:07,2,44,1,0.651,10.14
12,C35,U,T,7545,6/17/20,2020,9:31,3,134,1,4.348,9.96
13,M11-21,N,T,7601,6/14/21,2021,9:21,4,87,1,4.318,9.31
14,M20-20,N,C,7890,6/6/20,2020,9:37,4,180,1,5.69,9.75
15,A93,R,T,7634,7/17/21,2021,9:25,2,180,1,4.172,10.26
16,M24-20,N,T,7897,6/7/20,2020,9:16,3,50,1,0.6854,10.07
17,M32-22,N,T,47003,7/21/22,2022,9:47,3,113,1,1.8188,9.85
18,C24,U,T,7556,6/20/20,2020,9:00,3,240,1,5.844,10.23
19,M20-22,N,T,7654,6/4/22,2022,9:20,3,80,1,1.7372,11.19
20,C21,U,C,7527,6/15/20,2020,10:58,3,168,1,4.846,9.35
21,M11-21,N,T,7598,6/14/21,2021,9:21,4,97,1,0.3722,9.52
22,A84,R,T,7642,8/1/21,2021,9:11,2,91,1,0.024,9.7
23,M8-22,N,C,7662,6/8/22,2022,10:17,2,62,1,4.172,10.28
24,C19-21,U,T,7636,7/22/21,2021,9:15,3,133,1,0.6968,9.65
25,C16,U,C,7641,8/1/21,2021,10:06,2,99,1,7.636,9.29
26,C19-20,U,C,7573,7/7/20,2020,9:24,2,111,1,1.5186,8.54
27,M24-20,N,T,7898,6/7/20,2020,9:16,3,145,1,0.362,10.06
28,M24-22,N,T,7674,6/24/22,2022,9:54,3,155,1,5.078,11.32
29,M28-20,N,T,7543,6/16/20,2020,9:16,6,180,1,4.318,10.22
30,C21,U,C,7528,6/15/20,2020,10:58,3,79,1,3.334,9.52
31,M28-20,N,T,7540,6/16/20,2020,9:16,6,42,1,3.238,9.9
32,M1,N,C,7516,6/11/20,2020,9:43,4,66,1,0.3122,11.03
33,M10-20,N,C,7571,7/5/20,2020,9:42,2,90,1,0.4756,9.5
34,M9,N,C,7881,6/2/20,2020,9:53,3,65,1,2.22,9.55
35,M17-22,N,C,7655,6/6/22,2022,10:45,2,45,1,0.008544,11.71
36,A92,R,C,7657,6/7/22,2022,10:25,3,100,1,4.06,9.57
37,A69,R,T,7624,7/4/21,2021,9:30,3,110,1,2.586,10.2
38,M16,N,T,7611,6/19/21,2021,9:19,3,165,1,2.944,10.08
39,M30,N,T,7534,6/15/20,2020,9:55,5,77,1,0.0012756,9.72
40,M18,N,C,7885,6/4/20,2020,9:57,4,76,2,3.666,10.04
41,A87,R,C,7579,7/14/20,2020,10:35,3,150,2,8.498,9.58
42,M20-22,N,T,7652,6/4/22,2022,9:20,3,90,2,1.3012,11.02
43,C16,U,C,7640,8/1/21,2021,10:06,2,217,2,2.652,9.74
44,M30,N,T,7535,6/15/20,2020,9:55,5,200,2,5.618,9.4
45,M3-22,N,C,7647,6/3/22,2022,10:10,5,180,2,3.436,10.99
46,C35,U,T,7546,6/17/20,2020,9:31,3,110,2,0.3152,10.61
47,M34-22,N,C,47009,7/23/22,2022,9:05,3,180,2,2.716,10.69
