nest,site,trt,ID,year,date,time,brood_size,toe_ID,mass,tarsus,wing
A49,R,C,07604,2021,6/14/21,10:17:00,2,2 RM,9.9,17.51,33.5
A69,R,T,07624,2021,7/4/21,9:30:00,3,2 RM,10.2,16.51,32.5
A69,R,T,07625,2021,7/4/21,9:30:00,3,3 RO,10.42,17.10,33.5
A69,R,T,07626,2021,7/4/21,9:30:00,3,1 RI,10.55,16.67,30.5
A84,R,T,07639,2021,8/1/21,9:11:00,2,1 RI,10.33,17.00,34.5
A87,R,C,07579,2020,7/14/21,10:35:00,3,3 RO,9.58,17.00,34.75
A92,R,C,07657,2022,6/7/2022,10:25:00,3,2 RM,9.57,16.93,32.00
A92,R,C,07659,2022,6/7/2022,10:25:00,3,1 RO,9.18,16.55,30.05
A92b,R,T,07697,2022,7/17/2022,11:58:00,4,1 RO,10.66,17.02,33.00
A93,R,T,07633,2021,7/17/21,9:25:00,2,2 RM,10.51,16.52,34.5
A93,R,T,07634,2021,7/17/21,9:25:00,2,1 RI,10.26,16.69,31
C16,U,C,07640,2021,8/1/21,10:06:00,2,1 RI,9.74,16.83,35.5
C16,U,C,07641,2021,8/1/21,10:06:00,2,2 RM,9.29,16.78,33.5
C18,U,C,07607,2021,6/18/21,9:14:00,2,1 RM,8.43,16.55,31
C18,U,C,07608,2021,6/18/21,9:14:00,2,2 RO,7.9,15.99,30.5
C19-20,U,C,07574,2020,7/7/21,9:24:00,2,,8.76,16.91,34.50
C19-21,U,T,07635,2021,7/22/21,9:15:00,3,2 RM,10,17.22,34.5
C19-21,U,T,07636,2021,7/22/21,9:15:00,3,1 RI,9.65,16.89,36
C19-22,U,T,07664,2022,6/13/2022,9:04:00,3,2 RM,10.51,16.77,32.50
C19-22,U,T,07666,2022,6/13/2022,9:04:00,3,1 RO,9.95,16.95,34.75
C19b,U,C,07699,2022,7/18/2022,9:10:00,4,1 RO,9.18,16.24,33.00
C21,U,C,07527,2020,6/15/21,10:58:00,3,2 RM,9.35,17.59,34.00
C21,U,C,07528,2020,6/15/21,10:58:00,3,1 LM,9.52,17.30,31.75
C22,U,T,07506,2020,6/9/21,9:24:00,3,1 RM,10.32,17.40,33.50
C23-20,U,C,07584,2020,7/19/21,9:17:00,3,2 LM,9.47,17.34,34.00
C23-20,U,C,07585,2020,7/19/21,9:17:00,3,3 RO,9.55,16.70,33.00
C23-20,U,C,07586,2020,7/19/21,9:17:00,3,1 RM,9.25,17.54,35.00
