Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
1,M16,N,T,6,2021,5/25/21,9:32,2,1,7,1.6349,0.3499,2.672,6.266,5.313
2,C23-21,U,T,1,2021,6/7/21,9:38,2,1,7,1.2925,0.2717,3.256,3.786,0.267
3,C33-22,U,C,6,2022,5/29/22,12:55,2,1,8,1.5605,0.2592,3.363,10.064,2.458
4,M6,N,C,1,2020,5/21/20,14:52,2,1,,1.24,0.3458,3.618,10.523,6.33
5,C19-21,U,T,6,2021,6/28/21,10:38,2,1,6,1.3355,0.3297,2.106,5.02,0.548
6,M35-21,N,T,1,2021,5/26/21,12:02,2,1,7,1.1545,0.2228,5.79,6.71,1.012
7,M11-22,N,C,6,2022,6/6/22,15:13,2,1,6,1.2595,0.3058,5.729,8.362,7.194
8,C19-20,U,C,1,2020,6/6/20,8:27,2,1,7,1.42,0.2711,6.706,11.996,1.893
9,A92-20,R,C,1,2020,5/25/20,10:15,2,1,8,1.23,0.2203,5.07,12.558,2.369
10,C21,U,C,2,2020,5/15/20,8:54,2,1,7,1.38,0.2243,4.521,13.522,1.468
11,M8-21,N,C,1,2021,5/10/21,9:10,2,1,7,1.3695,0.2797,4.212,3.425,2.842
12,A95,R,T,3,2020,5/10/20,9:44,2,1,7,1.56,0.2736,3.666,6.049,2.729
13,A102,R,T,6,2020,5/29/20,10:24,2,1,7,1.36,0.2856,2.655,5.922,2.058
14,A49,R,C,5,2021,5/17/21,10:55,2,1,8,1.5407,0.2864,3.313,8.87,1.117
15,M10-22,N,C,1,2022,6/11/22,11:50,2,1,5,1.4682,0.3173,3.293,3.667,4.176
16,M15-22,N,T,3,2022,5/6/22,9:23,2,1,7,1.4784,0.2966,3.84,4.476,1.702
17,C24,U,T,1,2020,5/19/20,11:54,2,1,7,1.31,0.3072,2.406,2.451,1.023
18,M24-20,N,T,5,2020,5/11/20,13:41,2,1,7,1.47,0.3149,3.211,6.017,3.347
19,C22,U,T,3,2020,5/7/20,8:37,2,1,9,1.21,0.2507,4.376,7.529,1.218
20,M2,N,C,6,2020,5/15/20,12:12,2,1,6,1.41,0.3003,4.639,4.985,4.635
21,A92-22,R,C,4,2022,5/9/22,8:19,2,1,7,1.2607,0.2502,5.524,7.629,2.388
22,C22B,U,C,5,2022,5/27/22,15:03,2,1,7,1.3465,0.2495,3.679,13.034,1.107
23,M3-22,N,C,1,2022,5/1/22,9:45,2,1,8,1.379,0.2589,3.932,5.238,1.615
24,C19-22,U,T,6,2022,5/18/22,10:45,2,1,8,1.3232,0.3126,2.109,3.417,1.376
25,M3B,N,T,5,2022,6/19/22,9:52,2,1,6,1.5554,0.2963,3.262,2.177,4.516
26,A71,R,T,1,2020,5/12/20,10:03,3,1,7,1.4,0.2922,4.014,3.81,1.497
27,C22,U,T,5,2020,5/9/20,12:44,3,1,9,1.26,0.2655,2.658,6.86,1.656
28,A84,R,T,5,2021,7/9/21,9:54,3,1,5,1.5321,0.3544,1.992,4.555,1.234
29,M32B,N,C,4,2020,6/8/20,11:40,3,1,5,1.66,0.37,1.752,2.664,5.846
30,C18,U,C,1,2021,5/17/21,9:52,3,1,6,1.2726,0.2362,6.126,14.365,1.502
31,A69-21,R,T,6,2021,6/9/21,11:17,3,1,7,1.3538,0.272,3.857,2.811,1.461
32,C35,U,T,6,2020,5/21/20,10:29,3,1,7,1.4,0.3113,4.038,7.491,2.3
33,M8-20,N,T,1,2020,6/17/20,11:37,3,1,5,1.24,0.2446,3.188,4.564,2.265
34,M32B,N,C,2,2020,6/6/20,11:41,3,1,5,1.62,0.3619,2.019,3.823,5.515
35,A90,R,C,5,2020,5/6/20,9:19,3,1,8,1.38,0.2235,6.3,10.122,1.179
36,M12,N,T,2,2020,5/16/20,12:22,3,1,7,1.45,0.3086,2.976,3.419,1.766
37,C22-22,U,C,2,2022,5/12/22,11:28,3,1,,1.2512,0.2537,6.224,6.909,0.905
38,M35-21,N,T,3,2021,5/28/21,13:01,3,1,7,1.3333,0.2818,3.68,7.661,0.957
39,M32-22,N,T,4,2022,6/26/22,15:20,3,1,5,1.4157,0.2961,2.799,5.175,4.654
40,C19-21,U,T,4,2021,6/26/21,13:12,3,1,6,1.396,0.3,2.511,6.206,0.742
41,A87,R,C,3,2020,6/15/20,12:50,3,1,7,1.49,0.2501,3.059,7.125,0.929
42,M26-22,N,T,2,2022,6/7/22,12:47,3,1,7,1.3782,0.2416,5.625,7.275,0.786
43,M3-20,N,T,1,2020,5/12/20,11:14,3,1,6,1.68,0.3245,2.863,5.506,0.564
44,M19,N,C,3,2020,6/7/20,10:06,3,1,6,1.49,0.2652,3.584,7.518,6.391
45,C24,U,T,3,2020,5/21/20,11:00,3,1,7,1.43,0.2659,3.844,8.602,0.688
46,A69-21,R,T,4,2021,6/7/21,10:48,3,1,7,1.3005,0.2501,4.102,4.463,0.94
