nest,site,trt,year,clutch_size,hatch_brood_size,fledge_brood_size,date_first_egg,date_hatch,date_fledge,tray_entered,num_supp_day,notes
M1,N,C,2020,7,4,4,5/11/20,5/31/20,6/11/20,,,
M10-20,N,C,2020,5,2,2,6/6/20,6/24/20,7/5/20,,,
M12,N,T,2020,7,4,4,5/15/20,6/4/20,6/15/20,5/6/20,10,
M14,N,T,2020,7,2,2,5/8/20,5/27/20,6/8/20,5/5/20,4,
M15,N,C,2020,7,4,4,5/5/20,5/25/20,6/6/20,,,
M18,N,C,2020,7,4,4,5/4/20,5/23/20,6/4/20,,,
M19,N,C,2020,6,3,2,6/5/20,6/24/20,7/5/20,,,
M2,N,C,2020,6,2,2,5/10/20,5/29/20,6/10/20,,,
M20-20,N,C,2020,8,4,4,5/3/20,5/25/20,6/6/20,,,
M22,N,T,2020,6,1,1,5/12/20,5/31/20,6/11/20,5/6/20,7,
M22b,N,T,2020,4,3,3,6/9/20,6/23/20,6/30/20,5/30/20,12,?
M24-20,N,T,2020,7,3,3,5/7/20,5/26/20,6/7/20,5/6/20,2,
M26-20,N,T,2020,7,,,5/8/20,,,5/6/20,3,
M27,N,C,2020,6,2,2,6/1/20,6/20/20,6/30/20,,,
M28-20,N,T,2020,6,6,6,5/18/20,6/5/20,6/16/20,5/6/20,13,
M3-20,N,T,2020,6,2,2,5/12/20,5/31/20,6/11/20,5/5/20,8,
M30,N,T,2020,8,5,5,5/13/20,6/5/20,6/15/20,5/9/20,5,
M32-20,N,C,2020,7,3,3,5/12/20,6/22/20,7/13/20,,,
M32B,N,C,2020,5,,,6/5/20,,,,,
M34-20,N,T,2020,9,7,7,5/8/20,5/31/20,6/11/20,5/6/20,3,
M4-20,N,C,2020,1,,,5/9/20,,,,,predated before finished laying
M5,N,T,2020,7,3,1,5/8/20,5/29/20,6/10/20,5/6/20,3,
M6,N,C,2020,2,,,5/21/20,,,,,predated before finished laying
M7,N,T,2020,7,,,5/8/20,,,5/6/20,3,
